2023-11-05 20:49:17,991 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 0.0 ms
2023-11-05 20:49:18,025 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 34.084 ms
2023-11-05 20:49:18,040 - INFO - Endpoint: /dashboard/project/map | Processing time: 14.008 ms
2023-11-05 20:49:18,181 - INFO - Endpoint: /dashboard/project/count | Processing time: 137.541 ms
2023-11-05 20:49:18,197 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 14.434000000000001 ms
2023-11-05 20:49:18,209 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 26.356 ms
2023-11-05 20:49:18,221 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 10.999 ms
2023-11-05 20:49:18,236 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 26.152 ms
2023-11-05 20:49:18,294 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 57.375 ms
2023-11-05 20:49:18,294 - INFO - Endpoint: /dashboard/project/map | Processing time: 57.375 ms
2023-11-05 20:49:18,295 - INFO - Endpoint: /dashboard/building/count | Processing time: 57.375 ms
2023-11-05 20:49:27,074 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:49:27,076 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:49:27,077 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:49:27,078 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:49:27,379 - INFO - Endpoint: /dashboard/project | Processing time: 1.002 ms
2023-11-05 20:49:27,380 - INFO - Endpoint: /dashboard/project/ | Processing time: 1.0 ms
2023-11-05 20:49:27,437 - INFO - Endpoint: /dashboard/project | Processing time: 33.125 ms
2023-11-05 20:49:27,465 - INFO - Endpoint: /dashboard/project | Processing time: 27.29 ms
2023-11-05 20:49:29,687 - INFO - Endpoint: /dashboard/project | Processing time: 31.652 ms
2023-11-05 20:49:29,718 - INFO - Endpoint: /dashboard/project | Processing time: 28.968 ms
2023-11-05 20:49:31,087 - INFO - Endpoint: /dashboard/project/ | Processing time: 1.002 ms
2023-11-05 20:49:31,108 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:49:31,158 - INFO - Endpoint: /dashboard/project | Processing time: 50.329 ms
2023-11-05 20:49:31,192 - INFO - Endpoint: /dashboard/project | Processing time: 33.678 ms
2023-11-05 20:49:31,996 - INFO - Endpoint: /dashboard/project | Processing time: 27.897000000000002 ms
2023-11-05 20:49:32,021 - INFO - Endpoint: /dashboard/project | Processing time: 23.571 ms
2023-11-05 20:49:34,192 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:49:34,192 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:49:34,225 - INFO - Endpoint: /dashboard/project | Processing time: 33.429 ms
2023-11-05 20:49:34,244 - INFO - Endpoint: /dashboard/project | Processing time: 18.811999999999998 ms
2023-11-05 20:49:35,454 - INFO - Endpoint: /project/3/project_detail | Processing time: 0.832 ms
2023-11-05 20:49:35,460 - INFO - Endpoint: /project/3/project_detail | Processing time: 5.713 ms
2023-11-05 20:49:38,405 - INFO - Endpoint: /project/2/project_detail | Processing time: 0.17200000000000001 ms
2023-11-05 20:49:38,412 - INFO - Endpoint: /project/2/project_detail | Processing time: 6.529 ms
2023-11-05 20:49:39,938 - INFO - Endpoint: /project/4/project_detail | Processing time: 0.0 ms
2023-11-05 20:49:39,945 - INFO - Endpoint: /project/4/project_detail | Processing time: 5.41 ms
2023-11-05 20:49:52,974 - INFO - Endpoint: /project/3/project_detail | Processing time: 14.635 ms
2023-11-05 20:49:57,230 - INFO - Endpoint: /dashboard/project/count | Processing time: 13.692 ms
2023-11-05 20:49:57,243 - INFO - Endpoint: /dashboard/building/count | Processing time: 11.662 ms
2023-11-05 20:49:57,259 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 15.559999999999999 ms
2023-11-05 20:49:57,277 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 14.689 ms
2023-11-05 20:49:57,289 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 10.875 ms
2023-11-05 20:49:57,307 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 13.562 ms
2023-11-05 20:49:57,326 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 16.692 ms
2023-11-05 20:49:57,342 - INFO - Endpoint: /dashboard/project/map | Processing time: 15.31 ms
2023-11-05 20:49:57,354 - INFO - Endpoint: /dashboard/project/count | Processing time: 10.824 ms
2023-11-05 20:49:57,365 - INFO - Endpoint: /dashboard/building/count | Processing time: 8.998000000000001 ms
2023-11-05 20:49:57,377 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 11.059 ms
2023-11-05 20:49:57,391 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 12.963000000000001 ms
2023-11-05 20:49:57,405 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 12.478 ms
2023-11-05 20:49:57,417 - INFO - Endpoint: /dashboard/project/total_area_histogram | Processing time: 11.823 ms
2023-11-05 20:49:57,433 - INFO - Endpoint: /dashboard/building/floor_count_histogram | Processing time: 14.88 ms
2023-11-05 20:49:57,448 - INFO - Endpoint: /dashboard/project/map | Processing time: 12.449 ms
2023-11-05 20:50:02,830 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:50:02,861 - INFO - Endpoint: /dashboard/project/ | Processing time: 1.0 ms
2023-11-05 20:50:02,917 - INFO - Endpoint: /dashboard/project | Processing time: 56.702000000000005 ms
2023-11-05 20:50:02,946 - INFO - Endpoint: /dashboard/project | Processing time: 25.171 ms
2023-11-05 20:50:02,962 - INFO - Endpoint: /project/3/project_detail | Processing time: 16.025000000000002 ms
2023-11-05 20:50:02,981 - INFO - Endpoint: /project/3/project_detail | Processing time: 19.081 ms
2023-11-05 20:50:04,558 - INFO - Endpoint: /project/1/project_detail | Processing time: 0.307 ms
2023-11-05 20:50:04,577 - INFO - Endpoint: /project/1/project_detail | Processing time: 19.015 ms
2023-11-05 20:50:22,157 - INFO - Endpoint: /project/4/project_detail | Processing time: 15.640999999999998 ms
2023-11-05 20:50:29,257 - INFO - Endpoint: /project/12/project_detail | Processing time: 0.0 ms
2023-11-05 20:50:29,259 - INFO - Endpoint: /project/12/project_detail | Processing time: 0.0 ms
2023-11-05 20:50:30,911 - INFO - Endpoint: /project/8/project_detail | Processing time: 0.0 ms
2023-11-05 20:50:30,926 - INFO - Endpoint: /project/8/project_detail | Processing time: 13.29 ms
2023-11-05 20:50:37,618 - INFO - Endpoint: /project/13/project_detail | Processing time: 0.363 ms
2023-11-05 20:50:37,625 - INFO - Endpoint: /project/13/project_detail | Processing time: 7.816 ms
2023-11-05 20:50:39,961 - INFO - Endpoint: /project/2/project_detail | Processing time: 18.423 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /building/additional_sub_info | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /user/profile | Processing time: 0.0 ms
2023-11-05 20:51:09,059 - INFO - Endpoint: /dashboard/project/ | Processing time: 0.0 ms
2023-11-05 20:51:09,162 - INFO - Endpoint: /dashboard/project/ | Processing time: 18.106 ms
2023-11-05 20:51:09,163 - INFO - Endpoint: /dashboard/project | Processing time: 5.0 ms
2023-11-05 20:51:09,205 - INFO - Endpoint: /dashboard/project | Processing time: 1.001 ms
2023-11-05 20:51:09,233 - INFO - Endpoint: /dashboard/project | Processing time: 28.581 ms
2023-11-05 20:51:09,260 - INFO - Endpoint: /dashboard/project | Processing time: 26.235000000000003 ms
2023-11-05 20:51:10,930 - INFO - Endpoint: /project/3/project_detail | Processing time: 1.001 ms
2023-11-05 20:51:10,948 - INFO - Endpoint: /project/3/project_detail | Processing time: 16.922 ms
2023-11-05 20:51:23,020 - INFO - Endpoint: /project/3/project_detail | Processing time: 0.0 ms
2023-11-05 20:51:23,036 - INFO - Endpoint: /project/3/project_detail | Processing time: 15.618 ms
2023-11-05 20:51:23,388 - INFO - Endpoint: /dashboard/project/count | Processing time: 0.0 ms
2023-11-05 20:51:23,388 - INFO - Endpoint: /dashboard/building/count | Processing time: 0.9990000000000001 ms
2023-11-05 20:51:23,390 - INFO - Endpoint: /dashboard/project/location_ratio | Processing time: 0.998 ms
2023-11-05 20:51:23,401 - INFO - Endpoint: /dashboard/project/count | Processing time: 11.001999999999999 ms
2023-11-05 20:51:23,403 - INFO - Endpoint: /dashboard/project/construction_company_ratio | Processing time: 3.0 ms
2023-11-05 20:51:23,404 - INFO - Endpoint: /dashboard/project/usage_ratio | Processing time: 0.9990000000000001 ms
2023-11-05 20:51:23,414 - INFO - Endpoint: /dashboard/building/count | Processing time: 9.648 ms
